Metric,Unit,Value
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,43.30
sm__warps_active.avg.pct_of_peak_sustained_active,%,77.35
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.63
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,43.45
sm__warps_active.avg.pct_of_peak_sustained_active,%,77.36
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.63
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,43.64
sm__warps_active.avg.pct_of_peak_sustained_active,%,77.54
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.62
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,44.24
sm__warps_active.avg.pct_of_peak_sustained_active,%,77.29
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.63
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.00
sm__warps_active.avg.pct_of_peak_sustained_active,%,82.26
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.52
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.00
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.90
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.26
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.19
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,73.41
sm__warps_active.avg.pct_of_peak_sustained_active,%,92.17
